truck_capacity_rule_sk;model_name;material_name_ru;body_volume_m3;is_active;source_note;valid_from;valid_to
1;БелАЗ 7513D;ПСП;57;True;текущие нарощенные борта;2026-03-31 00:00:00;
2;БелАЗ 7513D;Рыхлая порода;57;True;текущие нарощенные борта;2026-03-31 00:00:00;
3;БелАЗ 7513D;Скальная порода;47;True;текущие нарощенные борта;2026-03-31 00:00:00;
4;БелАЗ 7513D;Окисленная руда;57;True;текущие нарощенные борта;2026-03-31 00:00:00;
5;БелАЗ 7513D;Переходная руда;49.4;True;текущие нарощенные борта;2026-03-31 00:00:00;
6;БелАЗ 7513D;Первичная сульфидная руда;49.4;True;текущие нарощенные борта;2026-03-31 00:00:00;
7;NHL NTE 200;ПСП;85;True;по таблице объемов;2026-03-31 00:00:00;
8;NHL NTE 200;Рыхлая порода;85;True;по таблице объемов;2026-03-31 00:00:00;
9;NHL NTE 200;Скальная порода;68;True;по таблице объемов;2026-03-31 00:00:00;
10;NHL NTE 200;Окисленная руда;85;True;по таблице объемов;2026-03-31 00:00:00;
11;NHL NTE 200;Переходная руда;70;True;по таблице объемов;2026-03-31 00:00:00;
12;NHL NTE 200;Первичная сульфидная руда;70;True;по таблице объемов;2026-03-31 00:00:00;
